#OTU ID	CKBMH1	CKBMH2	CKBMH3	CKBMH4	CKBMH5	CKLMH1	CKLMH2	CKLMH3	CKLMH4	CKLMH5	CKRMH1	CKRMH2	CKRMH3	CKRMH4	CKRMH5	CKRoMH1	CKRoMH2	CKRoMH3	CKRoMH4	CKRoMH5	CKSMH1	CKSMH2	CKSMH3	CKSMH4	CKSMH5	D1BMH1	D1BMH2	D1BMH3	D1BMH4	D1BMH5	D1LMH1	D1LMH2	D1LMH3	D1LMH4	D1LMH5	D1RMH1	D1RMH2	D1RMH3	D1RMH4	D1RMH5	D1RoMH1	D1RoMH2	D1RoMH3	D1RoMH4	D1RoMH5	D1SMH1	D1SMH2	D1SMH3	D1SMH4	D1SMH5	D2BMH1	D2BMH2	D2BMH3	D2BMH4	D2BMH5	D2LMH1	D2LMH2	D2LMH3	D2LMH4	D2LMH5	D2RMH1	D2RMH2	D2RMH3	D2RMH4	D2RMH5	D2RoMH1	D2RoMH2	D2RoMH3	D2RoMH4	D2RoMH5	D2SMH1	D2SMH2	D2SMH3	D2SMH4	D2SMH5	WBMH1	WBMH2	WBMH3	WBMH4	WBMH5	WD1BMH1	WD1BMH2	WD1BMH3	WD1BMH4	WD1BMH5	WD1LMH1	WD1LMH2	WD1LMH3	WD1LMH4	WD1LMH5	WD1RMH1	WD1RMH2	WD1RMH3	WD1RMH4	WD1RMH5	WD1RoMH1	WD1RoMH2	WD1RoMH3	WD1RoMH4	WD1RoMH5	WD1SMH1	WD1SMH2	WD1SMH3	WD1SMH4	WD1SMH5	WD2BMH1	WD2BMH2	WD2BMH3	WD2BMH4	WD2BMH5	WD2LMH1	WD2LMH2	WD2LMH3	WD2LMH4	WD2LMH5	WD2RMH1	WD2RMH2	WD2RMH3	WD2RMH4	WD2RMH5	WD2RoMH1	WD2RoMH2	WD2RoMH3	WD2RoMH4	WD2RoMH5	WD2SMH1	WD2SMH2	WD2SMH3	WD2SMH4	WD2SMH5	WLMH1	WLMH2	WLMH3	WLMH4	WLMH5	WRMH1	WRMH2	WRMH3	WRMH4	WRMH5	WRoMH1	WRoMH2	WRoMH3	WRoMH4	WRoMH5	WSMH1	WSMH2	WSMH3	WSMH4	WSMH5
ASV1	11596313	11628388	18108935	16344719	900936	187	372	896	248	0	11331362	13225244	1003854	4324658	1335057	196759	114092	27563	314712	30920	245	1694	461	2456	829	4082320	48772	9869329	142780	1082844	1845	193	146	767	1346	6848155	60143	11797371	1011712	188992	1809702	51642	106937	82216	3986	86	2571	13400	355	163	99550	12270224	39487	32873	3738630	198	458	3747	302	1166	221602	1882440	47603	26693	2869951	1752	15274	32908	21918	53408	0	189	681	727	1069	36710323	5169933	652011	854590	16281709	10656478	29152024	13055913	43732172	22349681	2054	388	83	1414	936	3500678	10712726	6158713	5471411	14171257	102522	289356	837128	1783672	425692	1089	1451	1037	622222	321	2435760	22803905	7334217	39690	38116355	418	364	0	95	412	1422597	3842818	1756640	9307	12521075	17328	146557	107362	2873	1350912	164	240	2136	645	1881	296	1051	0	1787	421	8661570	4629142	413323	242426	1193646	833347	83072	10699	47056	353534	884	31632	560	31022	442
ASV2	945485	965510	4261347	1105339	2843830	187	372	0	124	0	390520	175850	72307	212702	84387	266969	1461	142573	573237	30528	0	0	307	877	497	294475	23063869	5261632	1227661	5936343	1025	0	73	460	1010	542061	788543	1057627	3653234	759161	372112	8201095	61395	1110255	41546	0	2571	72	178	81	776577	2675825	299150	7518019	2102041	198	366	4188	804	1020	214563	1109714	149746	1145399	604096	2080	5764	55049	1477663	183841	0	189	0	484	891	8688664	3463671	17466289	19183404	6901512	2015282	8986478	4222470	8253647	5550729	1540	259	0	0	55	105604	808634	2369569	2300420	2253208	31400	212643	1507619	130207	384717	1556	1088	1037	2357	0	11164386	18087527	1066258	350041	2512053	251	273	215	0	82	3974638	6640963	3230860	198968	145022	478800	661009	683896	50433	11006	219	180	890	537	1411	99	750	370	1462	842	959162	1288893	1370133	1947698	526708	87854	83699	310524	2834237	106767	619	0	70	72	265
ASV3	11830	18971	34400	17796	41039	10283	12766	40184	13013	6553	81246	44220	23109	27024	124395	6292	6472	25942	5907	6067	10035	5269	1842	7895	2320	6630	12442	14413	6407	35214	30346	14631	26783	11043	43918	9018	8910	20089	11861	16504	34273	22628	10191	18667	3261	1976	3143	724	5416	975	8333	10048	6655	17289	19679	10772	49451	389673	20606	21420	4126	7670	5023	15015	6179	2846	4467	19907	19847	3270	17212	7449	4770	30277	2494	25876	29876	28555	75502	23940	19435	5042	7687	76580	32827	662176	92102	31071	56778	49437	27811	26830	20469	75173	975215	47667	6485	27299	21470	12665	22556	19585	14100	10135	5531	14005	26356	17979	19110	37668	37005	36694	18359	30620	78098	15718	88039	8537	12577	7443	3427	4753	50192	12608	13208	3175	19596	9969	13321	5956	208028	745926	232841	539461	164899	51840	57629	19791	1122842	19959	5459	2665	2952	16713	58346	3447	2052	2799	17378	3624
ASV4	2969834	20635	36631749	20666	30573	37393	12766	38391	13013	10310	947572	10284	2251714	1851557	9750	13012	626	77393	2272	7045	490	0	3531	1930	0	10221	25879	24823	111966	32506	83245	17327	35832	7209	26250	0	10024	18120	147605	6388	4264	17701	0	12216	1812	0	1143	0	178	81	9910	13968	14198	18750	81341	1482	15934	6832	5528	12823	2913	5513	13396	9056	58086	109	720	10563	12944	969	510	189	273	242	712	82229	41826	53711	33374	0	12209	10084	16163	27229	21474	4792	517	167	71	55	1945	4720	0	14972	5597	2081	1223	23828	1081	2384	622	725	0	1414	0	23517	41974	22251	15986	51090	84	364	644	159	330	3742	0	7114	1509	3121	2285	3880	0	798	1761	55	120	0	322	627	197	901	185	1625	337	6640	6013	2537	8569	5184	1650	470	738	4219	2256	530	85	70	0	354
ASV5	10647	20302	0	12629	0	93	124	0	0	0	38154	28794	2485	0	0	0	522	0	606	2740	0	0	0	0	0	0	5351029	16187932	10762475	25021896	410	0	146	0	841	8774	3731655	22577292	9978741	7300940	3949	121533	392523	69039	71739	86	0	72	1776	244	7432	12253	7122578	3181899	760350	0	92	2645	1910	437	0	0	26194093	8648643	2087641	0	576	6159837	787327	6661	0	189	1090	0	891	0	29398	25156	391733	29294	6229	0	0	0	0	856	129	0	71	110	0	3230	0	0	0	1135	0	2683	1699	1639	4822	363	622	0	0	0	14805	3735641	0	0	251	91	1610	0	0	0	0	4708638	0	4802	1047	873	1502531	1277	0	55	60	356	322	0	0	0	0	650	0	0	41092	0	97302	4407	0	313	246	2596	1353	177	0	0	0	0
ASV6	0	37609	44792	19518	0	93	248	0	0	0	0	0	4721	0	0	0	626	1729	0	5871	245	0	154	0	0	0	0	0	15254	0	0	0	0	460	0	8774	0	15362	0	0	4738	17518	3648	0	0	0	857	0	0	81	12387	15439	9428	0	0	99	0	3306	0	437	0	7190	0	0	5438	0	576	16454	8629	1574	0	0	0	0	0	60378	37046	53031	0	0	0	0	0	0	16960	0	323	83	212	0	1945	4223	0	14348	0	0	1101	0	0	0	0	0	0	0	0	30123	42787	0	0	72088	84	273	0	0	0	0	5193	0	2012	0	1142	0	13689	0	1761	0	120	0	322	0	0	750	0	0	253	0	6765	0	8293	0	0	627	369	6166	0	354	0	0	72	177
ASV7	41404	0	0	0	0	748	620	3660	620	262	102792	0	0	0	0	3003	1044	1621	0	2740	979	753	768	4211	829	0	0	75536	86644	0	2665	674	438	307	1683	0	0	0	467417	0	0	0	0	0	0	258	1429	217	1509	0	61036	0	120237	66721	115452	198	916	2204	603	1020	0	0	72242	55768	69703	0	1009	0	0	1574	127	189	818	727	0	0	0	34674	213374	0	0	0	0	153160	0	1540	453	83	0	0	0	0	0	0	60444	3594	0	0	4170	2384	0	0	0	2828	240	148767	91757	0	0	0	585	182	429	64	165	55636	53343	0	0	0	0	0	0	2075	0	109	240	1068	0	0	0	901	0	1137	505	0	0	0	0	0	0	0	738	0	0	707	0	210	431	0
ASV8	381211	1194157	966794	203215	176552	93	124	149	124	0	81246	573312	50938	235949	68921	77931	37683	81501	1666	4501	0	0	154	175	166	535083	848540	867730	278237	696840	615	0	0	307	337	361699	294033	387600	115097	57496	98556	66788	21513	263667	625000	86	1143	0	178	0	64414	922411	45921	968182	13148834	99	0	2204	0	291	66019	322368	193761	329844	196257	657	2161	133459	6213	1696	0	0	0	0	356	318565	200765	804986	70030	669677	98920	1263713	2835020	188169	109833	685	129	0	71	0	53288	281221	226361	460708	58485	2459	32300	16253	1390	7450	622	181	0	1178	0	40429	220119	37025	270110	151321	84	91	0	0	0	34679	47442	68530	139353	24490	20565	1746	24693	121614	1761	55	60	178	645	470	0	300	0	812	168	585048	153344	77387	12992	45880	57004	48433	4181	3083	6767	442	0	0	72	177
ASV9	0	0	0	0	21759	0	0	0	0	0	0	0	0	0	6052	0	0	0	0	0	0	0	0	351	0	9945	0	0	0	1512867	0	0	0	307	0	0	0	0	0	156517	0	0	0	0	0	0	571	0	178	0	0	0	0	0	0	0	0	0	101	437	2184	7430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8870	0	15319	0	0	0	0	0	0	0	0	19651	0	0	3915	0	0	0	0	0	0	1414	0	19289	0	0	11025	47626	0	0	429	32	0	3243	0	0	0	0	0	0	0	0	1321	0	0	0	0	627	0	0	0	0	168	4086	0	0	0	0	889	0	0	0	0	0	0	0	144	0
ASV10	12421	9985	20425	7750	18178	93	124	299	124	0	1795	6684	1491	872	3026	429	522	973	1212	3523	0	0	154	351	166	2762	7465	5071	6712	18284	615	0	146	307	673	2681	2784	2363	3954	1597	1895	11679	3145	0	1329	0	571	0	89	0	5631	8332	5546	6331	17784	0	275	882	0	437	485	1917	4306	4767	0	657	432	7110	3969	484	0	0	0	0	356	35077	21750	22436	21337	7875	2243	3438	4928	8752	5198	342	129	0	0	55	583	994	963	5927	2518	4540	734	0	927	2086	311	544	622	943	0	7134	23102	8188	9187	27060	668	91	107	32	82	998	1652	1660	503	2161	762	1164	6710	1277	881	0	60	534	537	0	99	901	0	2437	84	4852	4009	761	3041	1296	635	627	369	2596	3308	88	0	140	718	88
