Treatment	pH	TN	TP	OC	AP	AK	NH4	NO3	Moisture
CKMH1	4.36	0.54	0.409	10.42	47.2	563.4	45	49.63	28.39
CKMH2	4.53	0.54	0.416	11.04	36.1	453	48.92	23.16	22.83
CKMH3	4.02	0.45	0.395	9.75	28.4	712.8	42.4	85.04	34.61
CKMH4	3.77	0.53	0.42	10.98	45.5	587	73.31	29.92	20.25
CKMH5	3.89	0.38	0.383	9.84	23	485.3	18.48	32.88	29.77
D1MH1	3.82	0.54	0.464	11.14	82.4	778.4	121.66	70.74	17.35
D1MH2	3.29	0.52	0.408	9.96	58.9	755.7	145.49	72.43	15.14
D1MH3	3.55	0.54	0.452	9.91	71.4	624.6	122.74	71.91	24.16
D1MH4	3.67	0.5	0.413	9.51	54	725.3	134.33	67.48	15.98
D1MH5	3.71	0.53	0.422	10.12	85.5	772	119.77	61.6	18.83
D2MH1	3.52	0.5	0.46	9.37	80.9	861.3	147.85	70.6	19.84
D2MH2	3.6	0.55	0.439	9.89	43.4	880.7	153.99	75.86	22.91
D2MH3	3.4	0.49	0.508	9.08	67.6	810.3	148.62	69.52	11.91
D2MH4	3.57	0.54	0.5	10.07	71	884.6	136.7	65.18	11.6
D2MH5	3.67	0.53	0.464	9.93	78.9	807	161.5	78.58	22.46
WMH1	3.77	0.42	0.424	9.81	24.5	520.7	33.77	56.8	25.48
WMH2	3.61	0.52	0.476	10.23	49.7	779.7	149.32	74.47	30.29
WMH3	3.82	0.49	0.429	9.11	21.5	570.2	11.58	19.74	25.38
WMH4	3.49	0.53	0.461	10.02	67.1	685.1	75.75	16.57	23.21
WMH5	3.58	0.49	0.431	9.37	26.8	500.5	47.51	9.52	18.91
WD1MH1	3.44	0.52	0.503	10.1	65.7	768.7	77.64	95.78	32.83
WD1MH2	3.33	0.5	0.439	9.82	52.7	730	136.86	78.08	22.83
WD1MH3	3.54	0.54	0.437	10.39	57	776.6	164.41	79.06	22.7
WD1MH4	3.52	0.55	0.479	11.24	56.7	671	78.49	53.07	17.34
WD1MH5	3.62	0.55	0.451	10.93	34.4	672.8	46.03	45.86	16.41
WD2MH1	3.56	0.54	0.51	10.27	79.8	968.7	171.95	83.14	31.66
WD2MH2	3.53	0.52	0.474	10.5	73.2	805.2	176.44	84.66	26.24
WD2MH3	3.7	0.54	0.483	9.04	74.1	877.1	143.51	65.91	11.01
WD2MH4	3.63	0.52	0.455	9.8	63.5	845.5	145.61	69.41	12.3
WD2MH5	3.71	0.51	0.428	9.11	41.8	800.8	135.86	63.32	13.39
