#OTU ID,taxonomy
ASV1,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Auriculariales; f__Auriculariales_fam_Incertae_sedis; g__Renatobasidium; s__Renatobasidium_sp
ASV2,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__unidentified; g__unidentified; s__Trechisporales_sp
ASV3,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__ Capnodiales; f__Cladosporiaceae; g__Cladosporium; s__Cladosporium_sphaerospermum
ASV4,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Agaricales; f__Strophariaceae; g__Deconica; s__Deconica_phyllogena
ASV5,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Geastrales; f__Sphaerobolaceae; g__Sphaerobolus; s__Sphaerobolus_sp
ASV6,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Auriculariales; f__unidentified; g__unidentified; s__Auriculariales_sp
ASV7,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Unassigned
ASV8,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__Unassigned; g__Unassigned; s__Unassigned
ASV9,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Geastrales; f__Sphaerobolaceae; g__Sphaerobolus; s__Sphaerobolus_sp
ASV10,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Erysiphales; f__Erysiphaceae; g__Erysiphe; s__Erysiphe_magnoliicola
ASV11,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Auriculariales; f__unidentified; g__unidentified; s__Auriculariales_sp
ASV12,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__unidentified; g__unidentified; s__Trechisporales_sp
ASV13,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Agaricales; f__Strophariaceae; g__Deconica; s__Unassigned
ASV14,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Hyaloscyphaceae; g__Unassigned; s__Unassigned
ASV15,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Geastrales; f__Sphaerobolaceae; g__Sphaerobolus; s__Sphaerobolus_sp
ASV16,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__ Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_neocrassum
ASV17,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Agaricales; f__Strophariaceae; g__Deconica; s__Deconica_phyllogena
ASV18,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__ Filobasidiales; f__Piskurozymaceae; g__Solicoccozyma; s__Solicoccozyma_terricola
ASV19,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__unidentified; g__unidentified; s__Trechisporales_sp
ASV20,k__Fungi; p__Unassigned; c__Unassigned; o__ Unassigned; f__Unassigned; g__Unassigned; s__Unassigned
